n,Serie_Armonica,Serie_Inversos_Cuadrados
34878,11.0368415374,1.6449053959
35363,11.0506511587,1.6449057891
35855,11.0644679162,1.6449061771
36354,11.0782889367,1.6449065599
36860,11.0921114609,1.6449069375
37373,11.1059328410,1.6449073099
37893,11.1197505373,1.6449076771
38420,11.1335621152,1.6449080391
38955,11.1473909129,1.6449083965
39497,11.1612083227,1.6449087488
40047,11.1750371935,1.6449090965
40604,11.1888498418,1.6449094390
41169,11.2026686349,1.6449097770
41742,11.2164907383,1.6449101104
42323,11.2303134313,1.6449104393
42912,11.2441341027,1.6449107636
43509,11.2579502490,1.6449110834
44114,11.2717594705,1.6449113986
44728,11.2855818262,1.6449117097
45350,11.2993921458,1.6449120164
45981,11.3132100856,1.6449123190
46621,11.3270327520,1.6449126175
47270,11.3408573662,1.6449129120
47928,11.3546812609,1.6449132024
48595,11.3685018779,1.6449134888
49271,11.3823167645,1.6449137711
49957,11.3961435879,1.6449140498
50652,11.4099595317,1.6449143245
51357,11.4237819261,1.6449145955
52072,11.4376079222,1.6449148629
52797,11.4514347850,1.6449151266
53532,11.4652598900,1.6449153866
54277,11.4790807203,1.6449156430
55032,11.4928948637,1.6449158958
55798,11.5067179312,1.6449161452
56575,11.5205469732,1.6449163914
57362,11.5343617236,1.6449166339
58160,11.5481773741,1.6449168730
58969,11.5619913050,1.6449171089
59790,11.5758177294,1.6449173418
60622,11.5896370552,1.6449175713
61466,11.6034632548,1.6449177978
62321,11.6172774145,1.6449180210
63188,11.6310932665,1.6449182412
64067,11.6449081590,1.6449184583
64959,11.6587349427,1.6449186726
65863,11.6725553625,1.6449188839
66780,11.6863820657,1.6449190924
67709,11.7001974389,1.6449192979
68651,11.7140139258,1.6449195005
69606,11.7278288977,1.6449197004
70575,11.7416540027,1.6449198976
71557,11.7554722662,1.6449200921
72553,11.7692951646,1.6449202839
73563,11.7831199227,1.6449204732
74587,11.7969438767,1.6449206598
75625,11.8107644718,1.6449208438
76678,11.8245923001,1.6449210254
77745,11.8384116155,1.6449212044
78827,11.8522328646,1.6449213809
79924,11.8660533830,1.6449215550
81036,11.8798706143,1.6449217267
82164,11.8936942792,1.6449218961
83308,11.9075215287,1.6449220633
84468,11.9213496277,1.6449222281
85644,11.9351759518,1.6449223907
86836,11.9489979841,1.6449225510
88045,11.9628246702,1.6449227091
89271,11.9766532319,1.6449228651
90514,11.9904810028,1.6449230189
91774,12.0043054251,1.6449231706
93051,12.0181240472,1.6449233201
94346,12.0319451191,1.6449234676
95659,12.0457659553,1.6449236131
96991,12.0595942897,1.6449237567
98341,12.0734170590,1.6449238982
99710,12.0872419313,1.6449240378
101098,12.1010662330,1.6449241755
102505,12.1148873996,1.6449243113
103932,12.1287125939,1.6449244452
105379,12.1425390639,1.6449245773
106846,12.1563641689,1.6449247076
108333,12.1701853760,1.6449248361
109841,12.1840093615,1.6449249628
111370,12.1978334248,1.6449250878
